class_index,review_text
1,throwaway
2,all the hallmarks
2,story or character
1,cheesy screenplay
2,A small independent film suffering from a severe case of Hollywood-itis
2,the city 's
3,outgag any of those young whippersnappers making moving pictures today
1,bland actors
2,to cope with the pesky moods of jealousy
1,navigates a fast fade into pomposity and pretentiousness
2,supply too much of the energy
1,The Christ allegory does n't work because there is no foundation for it
2,shaking its Blair Witch Project real-time roots
2,to the size of a downtown hotel
2,comes from a 60-second homage
2,net
0,A mawkish self-parody that plays like some weird Masterpiece Theater sketch with neither a point of view nor a compelling reason for being
1,Their contrast is neither dramatic nor comic --
3,Amid the new populist comedies that underscore the importance of family tradition and familial community
1,is a rancorous curiosity : a movie without an apparent audience
2,generally
2,to be had here
3,happy ending
2,is repeated five or six times
3,with his picture-perfect life
3,with formalist experimentation in cinematic art
4,It 's -RRB- a clever thriller with enough unexpected twists to keep our interest .
2,-LRB- of which they 'll get plenty -RRB-
2,buoy
2,Hewitt
1,your appetite for canned corn
1,The misery of these people
3,the show 's concept
4,intelligent humor
2,political correctness
2,knowing horror films
1,is that its own action is n't very effective .
2,the novelty of the `` webcast
3,soulful nuances
3,every member
2,a black and red van
2,underlay the relentless gaiety
2,the name of Star Wars
3,remarkably cohesive
0,'s just too boring and obvious
2,the improbable `` Formula 51
2,A perfectly competent and often imaginative film that lacks what little Lilo & Stitch had in spades -- charisma .
2,of discourse
2,favors to their famous parents .
2,Schwarzenegger or Stallone
2,a narrative puzzle
2,tux
3,that is revelatory
2,anarchists
3,often surprising twists and
3,equally engrossing
2,cries .
2,in September
3,of testing boundaries
2,from a film with this title
1,steal
0,It 's hard to understand why anyone in his right mind would even think to make the attraction a movie .
3,attract and sustain an older crowd
2,indie filmmaking
2,you could have guessed at the beginning
2,be damned .
1,the annoyance
2,Lear
0,a bunch of typical late-twenty-somethings natter on about nothing
2,to which the adjective ` gentle ' applies
2,its Hawaiian setting
2,will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like Pinocchio .
2,is playing the obvious game .
2,retro-refitting
2,one 's mother
1,it is entertaining on an inferior level .
2,Music special
1,he 's spiffing up leftovers that are n't so substantial or fresh
1,stiletto-stomps the life out
2,that separates comics from the people laughing in the crowd
2,learn a good deal about the state of the music business in the 21st Century
1,long soliloquies
2,familiar topic
2,percolating mental instability
2,cockney
2,Eddie Murphy and
2,swear you are wet in some places
3,by Anne-Sophie Birot
1,sadly --
3,is a poster boy for the geek generation
3,is perfectly creepy and believable
2,struts
2,can just
2,a routine slasher film
2,the Barbarian
3,an imaginative filmmaker
2,David Cronenberg
2,here 's a glimpse at his life .
3,of the year 's best films
2,getting at
3,very stylish
1,either you 're willing to go with this claustrophobic concept
2,the price of a ticket
0,being a really bad imitation of the really bad Blair Witch Project
2,mongrel pep
1,unencouraging threefold expansion
3,otherwise good-naturedness
1,is entirely too straight-faced
2,with a toddler
2,is eerily convincing as this bland blank of a man with unimaginable demons
2,start to finish
2,straddle the line between another classic for the company
1,designed to fill time
2,dancers
2,Danis Tanovic 's No Man 's Land
2,action films
3,a cute partnership
3,classic mother\/daughter struggle
2,the other ''
3,suitably kooky which should appeal to women
3,Interview with the Assassin draws its considerable power from simplicity .
2,young Robert DeNiro
3,predict there will be plenty of female audience members drooling over Michael Idemoto as Michael
2,for the non-fan
3,joyous communal festival
2,Nelson 's
3,savor
2,Silver and Robert Zemeckis
1,has a forcefully quirky tone that quickly wears out its limited welcome
3,Demme gets a lot of flavor and spice into his Charade remake
3,love and compassion
3,strongest
2,hierarchy
2,to be surefire casting
2,the precarious balance
2,so in
1,most repellent things
3,Playing a role of almost Bergmanesque intensity ... Bisset is both convincing and radiant .
2,would he say
4,A delightful entree in the tradition of food movies .
2,Haneke 's
1,are simply too bland to be interesting
2,sealed
4,rip-roaring comedy action
2,the way many of us live
2,the shadow side of the 30-year friendship between two English women
3,Maelstrom is strange and compelling
2,its nauseating spinning credits sequence to a very talented but underutilized supporting cast
2,T-shirt and shower scenes
2,of violence and noise
1,the predictable parent vs. child coming-of-age theme
0,an overexposed waste of film
1,string the bastard
3,more than enough sentimental catharsis for a satisfying evening at the multiplex
2,deterioration
2,a `` Big Chill '' reunion of the Baader-Meinhof Gang
1,belongs with the damned for perpetrating Patch Adams
2,than by its own story
2,into gear
3,generate enough heat
2,sub-Tarantino
2,almost every turn
1,sick and
3,own idiosyncratic way
2,final scene
2,get sufficient distance
2,Sissako 's
2,Kitschy
2,anxieties
3,sincere and artful
4,his most sparkling
3,who could too easily become comic relief in any other film --
3,I honestly never knew what the hell was coming next
3,throws herself into this dream Hispanic role with a teeth-clenching gusto
1,'s really wrong with this ricture !
2,just plain wicked
3,wonderfully creepy mood
1,The film has a laundry list of minor shortcomings
1,even Felinni would know what to make of this Italian freakshow .
2,are both
2,straight face
3,fun adventure movie
2,with performances here
2,coffee table book
1,second fiddle
3,that may also be the first narrative film to be truly informed by the wireless
2,an actress she
2,are the difference between this and countless other flicks about guys and dolls .
3,is a fascinating little tale .
2,some hippie getting
2,on a boat
2,as this one is in every regard except its storyline
2,an intelligent subtlety
2,a jump cut !
2,simple
0,of the worst movies of the year
2,tooth and
3,The creative animation work
2,high-end John Hughes comedy
1,predictably conventional
2,Whatever satire Lucky Break was aiming for
2,a certain part
1,Sex is one of those films that aims to confuse .
3,credulous
2,follows most closely
3,has a genuine dramatic impact
2,as long as you do n't try to look too deep into the story
4,'s like dying and going to celluloid heaven
2,vidgame
1,Will anyone who is n't a Fangoria subscriber be excited that it has n't gone straight to video ?
2,'' film
2,is clear :
3,a thoughtful what-if
0,so poorly paced you could fit all of Pootie Tang in between its punchlines
1,a concept doofus
3,it 's won
2,Bartlett
2,Vivi
3,Woo
2,Nohe
3,remains a disquieting and thought-provoking film
2,lead actors
2,genial but
2,opera 's
2,some juice
2,a promise nor a threat so much as
3,seventy-minute running time
3,star power
3,stress-reducing
3,French shocker
2,from its kids-in-peril theatrics
2,of gas
3,of riveting power and sadness
2,attract teenagers
3,of traditional layers of awakening and ripening and separation and recovery
2,boosterism .
4,He has a great cast and a great idea .
3,his film crackles
1,The movie 's blatant derivativeness is one reason it 's so lackluster .
2,of zero
1,in this predictable thriller
2,Welles groupie\/scholar Peter Bogdanovich
2,has been perpetrated here
2,the same olives
2,highly personal brand
2,wherein
2,concepts
2,a calculus major at M.I.T.
2,of black ice
0,a real shame
2,raucous
2,own thinness
3,felt and vividly detailed story about newcomers in a strange new world .
1,We do n't even like their characters .
2,Estela Bravo 's documentary
1,can aspire but none can equal
2,most people
2,a leaden closing act
3,multi-character story
2,average student 's
3,that sends you out of the theater feeling
2,140
3,endeavors
2,incomprehensible to moviegoers not already clad in basic black
3,the Coen brothers and
1,so I do n't know what she 's doing in here
2,moral compromise
3,a sweetly
2,even flicks
2,such an endeavour
2,which time
1,dull thriller
3,cinematic knack
3,fried in pork
4,make a gorgeous pair
2,ultra-loud blast
2,#NOM?
2,a vampire pic than a few shrieky special effects
2,imbue
2,plenty of evidence
2,will gratify anyone who has ever suspected Hollywood of being overrun by corrupt and hedonistic weasels
2,Wolfe
2,of her
2,for this
2,Love may have been in the air onscreen
3,surprisingly gentle
1,a Harrison Ford low
2,is essentially devoid of interesting characters or even a halfway intriguing plot .
3,giving the movie a mournful undercurrent that places the good-time shenanigans in welcome perspective
0,not smart and not engaging
2,wider
3,court maneuvers
2,his personal horrors
2,specific gifts
2,ho
3,This movie got me grinning .
2,shifted in favor of water-bound action
2,They 're going through the motions
0,Director Jay Russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .
2,in the mud than a worthwhile glimpse of independent-community guiding lights
4,a particularly good film
3,score
3,umpteenth
3,agreeably startling
3,classic low-budget film noir movie
2,Sica
2,Exposing the ways
3,translate well to film
3,inspires more than an interested detachment
1,tortured husband
1,being `` in the mood '' to view a movie as harrowing and
3,the best inside-show-biz
3,energy and geniality
2,that surrounded its debut at the Sundance Film Festival
4,enormously good fun
0,Was that movie nothing more than a tepid exercise in
2,short film
2,How I Killed My Father would be a rarity in Hollywood .
2,first narrative film
1,seems too simple and the working out of the plot almost arbitrary .
2,his founding partner
2,its comic barbs
2,be Catechism
3,it definitely gives you something to chew on
3,'s coherent
1,a non-stop cry for attention
2,gang-member teens
3,witty expose
2,are making sense of it
1,are generating about as much chemistry as an Iraqi factory poised to receive a UN inspector
1,that gives movies about ordinary folk a bad name
0,This is not one of the movies you 'd want to watch if you only had a week to live .
0,tastelessness and
1,comes to resemble the kind of soft-core twaddle you 'd expect to see on Showtime 's ` Red Shoe Diaries .
2,coping
2,to discover that Seinfeld 's real life is boring
2,bearded
2,Conversations
2,the rules of the Country Bear universe
2,operational
4,one of the outstanding thrillers of recent years
2,with the right actors
2,The connected stories
2,addition
2,the expression
3,its provocative central wedding sequence has far more impact
2,to frazzled wackiness and frayed satire
2,'s not onscreen
4,tremendously moving
2,be drained of human emotion
3,smart comedy
1,Grating and tedious .
2,domestic scenes
2,have ever been together in the same sentence
2,show these characters
3,interesting storytelling devices
2,the odds and
3,a cult favorite
0,he has no clue about making a movie
2,across the pat ending
2,in this cinematic sandbox
2,some sort
2,kitsch
2,is so often
3,Disney films
0,sucked dry the undead action flick formula
2,Every note
2,like a life sentence
2,The Bride 's
2,assured pacing
2,everything
0,'s not very well shot or composed or edited
2,please every one -LRB- and no one -RRB-
2,that implies
3,talking a talk that appeals to me
2,a no-surprise series
2,Dumas
3,to be caught in a heady whirl of New Age-inspired good intentions
1,to the tiniest segment of an already obscure demographic
2,brass and back-stabbing babes
2,young Turks
3,the four primary actors
1,doing its usual worst to guilt-trip parents
2,the vulgarity
3,Nicely combines the enigmatic features of ` Memento ' with the hallucinatory drug culture of ` Requiem for a Dream . '
3,A different and emotionally reserved type of survival story
2,personal obstacles
3,gives it that extra little something that makes it worth checking out at theaters
3,splendor
2,of Grenoble and Geneva
2,surest
2,but part of being a good documentarian is being there when the rope snaps
3,An engaging
3,you 'll laugh
1,The Four Feathers is definitely horse feathers
3,recalls the Cary Grant of Room
2,how pertinent
3,A thoughtful and surprisingly affecting portrait of a screwed-up man who dared to mess with some powerful people
2,you could have about Spirited Away
2,footage
2,force drama
2,Dogtown &
1,callow rich boy
2,to everyone else
2,contemporary interpretation
1,visualize schizophrenia
2,directed by Scott Kalvert
2,Griffith
0,This stuck pig of a movie flails limply between bizarre comedy and pallid horror .
3,struck less by its lavish grandeur than by its intimacy and precision
2,about their daily activities
2,1930s
2,afraid to try any genre and to do it his own way
2,to Promises
3,A great cast and a wonderful but sometimes confusing flashback
2,on the TV show -RRB-
2,sometimes incisive and sensitive
2,bid
2,pure fantasy character
2,give themselves a better lot in life
1,to cheap manipulation or corny conventions
2,is a small gem .
2,having things all
0,a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny
2,with one another
2,the first scene
2,Open-ended
3,and moving portrait
2,writer John Ridley
2,#NOM?
2,as an unsolved murder and an unresolved moral conflict jockey for the spotlight
2,those well spent
2,1.2 million
3,strong themes
1,an all-time low
2,every Schwarzenegger film
2,indie Snipes
1,cannibal
3,flavours and emotions
4,distinguished film legacy
2,other characters
2,the pitfalls of bad behavior
2,the mud
2,of Die Hard and Cliffhanger
2,most of the scary parts in ` Signs '
2,'s often
2,be-bop
2,at heart
3,his inspiration
4,engrossing and infectiously enthusiastic documentary
1,water torture
2,drugs and philosophy
3,is spot on
3,belongs to Nicholson
2,ugly American
2,Brendan
3,do well to check this one out
2,it has said plenty about how show business has infiltrated every corner of society -- and not always for the better .
1,mediocre acting
1,and vulgar innuendo
2,Marquis de Sade
2,bucket
1,has all but lost
2,to sit through it all
1,is tepid and tedious
3,laughed at
3,give a pretty good overall picture of the situation in Laramie following the murder of Matthew Shepard
1,are poorly delivered
2,Farrelly Brothers
2,have been pulled from a tear-stained vintage Shirley Temple script
2,hallelujah
2,be in the theater beyond Wilde 's wit and the actors ' performances
3,transcend
2,anything but
1,as though you rode the Zipper after eating a corn dog and an extra-large cotton candy
2,That regurgitates and waters down many of the previous film 's successes
2,our own responsibility
2,than any English Lit
3,good race
3,connection and concern
2,may leave you feeling a little sticky and unsatisfied
1,is worse :
2,buy just
2,once a couple
3,ambitious `
1,in bad stage dialogue
2,perverse element
2,could fit all of Pootie Tang in between its punchlines
3,sweet as Greenfingers
2,action sequences and
3,is just too easy to be genuinely satisfying
1,a monster
2,Toback
2,as Die Hard on a boat
2,more elves and snow and less pimps and ho 's
2,to wonder-what
2,of Matthew 's predicament
2,dash
1,plays like an unbalanced mixture of graphic combat footage and almost saccharine domestic interludes that are pure Hollywood .
2,'ve rarely
2,of the big fight
0,overlong infomercial
2,Galan
3,a compelling
2,traditionally structured story
2,Harvey
1,It 's impossible to even categorize this as a smutty guilty pleasure .
3,is a director to watch .
2,many of these guys
2,this nervy oddity
2,espionage
2,the New York metropolitan area
2,references to Norwegian folktales
4,Poetry in motion captured on film .
4,wiser
2,Boomers and their kids
2,keeping the creepy crawlies hidden in the film 's thick shadows
2,give a thought to the folks who prepare and deliver it
1,on too many tried-and-true shenanigans that hardly distinguish it from the next teen comedy
2,of these gross
2,it stands
2,David Jacobson
4,is genuinely inspirational
2,undermining
1,that you 've spent the past 20 minutes looking at your watch
2,Josh Koury
4,this engaging film about two men who discover what William James once called ` the gift of tears
2,many Barney videos
3,little film noir organized crime story
2,moist eyes
2,their audience wo n't sit still for a sociology lesson
1,all-over-the-map
3,this comic slugfest
1,horse feathers
2,need a playful respite from the grind to refresh our souls
1,law to be discerned here that producers would be well to heed
3,warm without ever succumbing to sentimentality
3,against all odds
2,director Peter Bogdanovich
1,drek
1,prechewed
2,a little coffee
1,cut out figures
2,Whiffle-Ball
0,as moronic as some campus gross-out films
3,There 's nothing exactly wrong here
1,casting call
4,otherwise comic narrative
2,visual puns
1,most hackneyed
3,'ve got something pretty damn close
3,fondly
2,social dictates
1,maybe too much
2,Robert DeNiro belt out `` When you 're a Jet
2,If S&M seems like a strange route to true love
2,emotional danger
0,be another shameless attempt by Disney
0,hideously
1,take before indigestion sets
2,pretty thin
4,an engrossing thriller
3,'d expect to see on Showtime 's ` Red Shoe Diaries
2,ensuing
3,seeing justice served
2,that his pathology evolved from human impulses that grew hideously twisted
2,the fate that has befallen every other Carmen before her
2,of potential for the sequels
3,fascinating character 's
3,is its surreal sense of humor and technological finish .
1,at the absurdities and inconsistencies
2,seen
2,Larson
3,A brilliant gag
2,Aussie David Caesar
1,be sealed in a jar and left on a remote shelf indefinitely
3,the movie as a whole
2,as potent
1,The thing about guys like Evans is this : You 're never quite sure where self-promotion ends and the truth begins
3,away a believer again and quite cheered at just that
2,Schiffer and Hossein Amini
2,personal odyssey
1,There 's no palpable chemistry between Lopez and male lead Ralph Fiennes
3,Jackie Chan movies are a guilty pleasure
3,a passable date film
2,when the humans are acting like puppets
0,The lead actors share no chemistry or engaging charisma .
4,should make it required viewing in university computer science departments for years to come
4,uplifter .
1,chuckles
3,sweet treasure and something
2,with a girl
2,Tom Shadyac 's
1,transvestite comedy
2,conventional science-fiction elements
2,much of a mystery
2,be described as sci-fi generic
2,lacks considerable brio .
2,Mr. Brown 's
2,making its way instead to theaters
2,on Letterman with a clinical eye
3,who proves that elegance is more than tattoo deep
3,ate a Reeses
3,below its abstract surface
1,in the thin soup of canned humor
2,set the cause of woman warriors
2,a fully realized story
3,laughed so much
2,with such gentle but insistent sincerity
2,overall feeling
2,be too close to recent national events
2,the monster 's psychology not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew hideously twisted
4,most wondrously gifted artists
3,Bambi
2,in heart what it lacks in outright newness
1,to enhance the self-image of drooling idiots
3,proud in its message
2,the roots of the skateboarding boom that would become `` the punk kids ' revolution
2,100-minute running time
4,At 78 minutes it just zings along with vibrance and warmth .
0,'s no disguising this as one of the worst films of the summer .
3,There is something that is so meditative and lyrical about Babak Payami 's boldly quirky Iranian drama Secret Ballot ... a charming and evoking little ditty that manages to show the gentle and humane side of Middle Eastern world politics
2,strange horror
2,affect
2,the character 's lines would suggest
2,his narration
2,any kind of masterpiece
3,seem smart and well-crafted in comparison
2,battle
2,duties
3,The hypnotic imagery and fragmentary tale explore the connections between place and personal identity .
2,-LRB- Tsai 's -RRB-
2,rarely sees .
2,the life of moviemaking
2,Solondz tries and tries hard
2,sweeping modern China
2,picture we 've been watching for decades
2,a diary or documentary
3,have recharged him
2,feel the screenwriter
2,heady for children
3,For almost the first two-thirds of Martin Scorsese 's 168-minute Gangs of New York
1,hard-sell
3,the real turns magical
3,The ingenuity that Parker displays in freshening the play
2,I 've had in a while
1,conspicuous
2,comes off
2,doctorate
1,an overly sillified plot and
3,prove diverting enough
3,'s a movie that gets under your skin
2,slight and admittedly manipulative
2,rediscover
2,using the same olives since 1962 as garnish
2,apes films
0,It is n't quite one of the worst movies of the year .
3,manages never to grow boring ... which proves that Rohmer still has a sense of his audience
0,cruelly
1,A generic international version
3,cross-country road trip
2,to Kill Your Neighbor 's Dog
3,find love in the most unlikely place
2,kinetic enough
2,be from unintentional giggles -- several of them
3,is one of those rare pictures
3,reasonably attractive holiday contraption
2,'s yet
3,a fair bit
2,skipping straight to her scenes
2,of their lungs
2,Ultimate X.
2,to an admittedly limited extent
2,`` Punch-Drunk Love '' is a little like a chocolate milk moustache ...
2,Fincher and writer David Koepp
1,sent back to the tailor for some major alterations
3,an asset and
2,jettisoned some crucial drama .
2,for self-preservation
3,a very distinctive sensibility
2,boxes
2,portrays young Brendan
3,very good comedic songs
2,of ugly behavior
3,a good old-fashioned adventure
0,seem to be in a contest to see who can out-bad-act the other
3,another key contribution
2,cobbled together out
1,absurd collection
2,documentary footage
2,resist his pleas to spare wildlife
3,were n't as beautifully shaped and as delicately calibrated in tone as it is
2,package
3,the pure adrenalin
2,an awful lot like life
4,nearly epic
3,is a wartime farce in the alternately comic and gut-wrenching style of Joseph Heller or Kurt Vonnegut
2,psychological fare
3,should please fans of Chris Fuhrman 's posthumously published cult novel
2,that sports a ` topless tutorial service
2,extremely unconventional
2,in a mature and frank fashion
2,Some of the characters die
2,its company
2,Pie movies
2,three short films and two features
1,'s so bad
3,is one carried by a strong sense of humanism
2,spells discontent
2,Janklowicz-Mann and Amir Mann area
2,'s very Beavis and Butthead
2,conjured up
3,to be intimate and socially encompassing
2,affectionate
3,interesting
4,This is an interesting movie ! ''
2,Paul Bettany playing Malcolm McDowell
2,you wo n't be sorry
2,unlike most animaton from Japan
2,to function
2,little more attention
1,the consequences of its own actions and revelations
2,less pimps and ho 's
4,is surprisingly enjoyable
2,more challenging than your average television biopic
2,of the human spirit
2,Hepburn and
3,fit the incredible storyline
2,the last exit
2,deposited
2,ending
3,the nation
2,2 's
2,should stop trying to please his mom .
2,the creativity but without any more substance ...
3,boxes these women 's souls right open for us .
2,wry and
3,Michel
3,of an intriguing curiosity
2,caterer
2,lampoons
3,Initial strangeness inexorably gives way to rote sentimentality
2,Mr. Besson
3,realistically
1,'s uninteresting
2,dilemma
4,meaningful historical context
2,Toback machinations
2,20 years ago
3,you 've never seen the deep like you see it in these harrowing surf shots
3,would have no problem giving it an unqualified recommendation
2,there are side stories aplenty --
0,Abandon '' will leave you wanting to abandon the theater .
3,Malone
2,if taken in large doses
1,banal script
1,be said to squander Jennifer Love Hewitt
2,last three narcissists
2,its dynamics
2,many flashbacks
1,Barney 's crushingly self-indulgent spectacle
2,'ve rarely been given .
4,just might go down as one of the all-time great apocalypse movies .
2,adorns his family-film plot
0,Nothing about the film -- with the possible exception of Elizabeth Hurley 's breasts -- is authentic .
1,induce sleep
2,pulls no punches in its depiction of the lives of the Papin sister and the events that led to their notorious rise to infamy
1,The misery
2,The film is saved from
2,'s made a difference to NYC inner-city youth
4,alone is worth the price of admission .
4,as miraculous as its DreamWorks makers
3,dropped
2,hem the movie in every bit as much as life hems in the spirits of these young women
3,does manage to make a few points about modern man and his problematic quest for human connection
2,feels almost anachronistic
0,in this dreary mess
4,'s an excellent 90-minute film
2,even erotically frank ones
4,#NOM?
2,about honesty and good sportsmanship
2,an inauspicious
2,HIV\/AIDS is far from being yesterday 's news
2,tries hard to make the most of a bumper
2,receive it
2,frequent
2,wordy wisp
2,the Alan Warner novel
2,conversational
2,than lumps of coal
2,Mexican and
2,an exploration
2,all the formulaic equations
3,exceptional honesty
2,reminds you
2,deserved better
3,the funny bone
3,family and community
2,than ever
2,jumps
2,irrigates our souls .
2,Spy Kids
2,is OK for a movie
2,look ahead
3,most compelling
3,a certain charm
3,you have Ellen Pompeo sitting next to you for the ride
2,a thirteen-year-old 's
4,a stirring visual sequence
2,truth-in-advertising hounds take note
2,52
2,-LRB- a nose -RRB-
3,better thriller
2,too little time
0,the story together frustrating difficult
0,redundancy and unsuccessful
2,moral ambiguity
1,its own action is n't very effective
2,tiny camera
2,Erin
2,semi-autobiographical film
2,after a film like this
3,Far more successful
1,that are jarring and deeply out of place in what could have -LRB- and probably should have -RRB- been a lighthearted comedy
1,for this story to go but down
2,than a night at the movies
0,the mediocre end
4,Burns is a filmmaker with a bright future ahead of him
1,decay
2,new jangle
1,you 're looking for a tale of Brits behaving badly
2,Runyon
2,Soderbergh 's concentration on his two lovers
3,average kid-empowerment fantasy
3,pleasurable movies
3,three-dimensional characters
2,Made-Up
2,switch
1,Suffers from unlikable characters and a self-conscious sense
3,about the human need for monsters to blame for all that
2,Dad 's wallet
3,by its lavish grandeur
2,Weimar Republic
2,Australian actor\/director John Polson
0,equally miserable film
2,videotape
0,bogged down in earnest dramaturgy
3,The director explores all three sides of his story with a sensitivity and an inquisitiveness reminiscent of Truffaut .
2,ensemble comedy
2,Fessenden 's narrative
2,mild escapism
2,a few comic turns
2,leading
2,on the usual tropes
2,witness the conflict
2,every old World War II movie
2,of glee
1,the more overtly silly dialogue
2,relevant in the first place
3,a ploddingly melodramatic structure
2,Bowling for Columbine
2,would be better to wait for the video
2,all the hype
2,post-production stages
1,leave their families
2,invaders
3,Minority Report '' astounds .
2,about men
1,buy the movie milk when the TV cow is free
2,naval
2,'s about as convincing
2,on Three 's Company
0,would do well to cram earplugs in their ears and put pillowcases over their heads for 87 minutes .
2,fundamentally
1,general absurdity
2,standards
2,every performance
3,Jennifer Lopez 's most aggressive and most sincere attempt
2,a broad cross-section
1,did n't laugh .
2,on the plot
2,nature film
2,significant to say
3,humor and a heartfelt conviction
2,that puts
2,running time
2,a more generic effort
2,petite frame
2,support the epic treatment
4,rousing success
2,spinning
2,the same throughout
1,no lika da accents so good
2,a stunning fusion
2,Jacquot 's strategy
2,some directors
2,'s nothing remotely topical or sexy here
2,school
2,see her Esther blossom
3,remains surprisingly idealistic
2,from curling
2,Barry Sonnenfeld owes Frank the Pug big time
1,the worst movie I 've seen this summer
3,a bunch of talented thesps
4,from cowering poverty to courage and happiness
3,is the kind of subject matter that could so easily have been fumbled by a lesser filmmaker
1,to make a film in which someone has to be hired to portray Richard Dawson
2,a computer
3,humorous and
3,her petite frame and vulnerable persona emphasising her plight and isolation
2,this is recommended only for those under 20 years of age
2,heart-string
3,the flash of rock videos fused with solid performances and eerie atmosphere .
2,any chance of the movie rising above similar fare
3,irony-free
2,psychological action film
0,'s unfocused and tediously exasperating
0,ill-constructed and fatally overlong
1,truly egregious
2,the lucky few
4,perfect
2,Vs. Sever
2,admittedly middling
1,overdoing
3,as sharp or as fresh
2,older fans or
1,silly fluff
2,be trained to live out and carry on their parents ' anguish
2,the mentally ill
1,you take for granted in most films are mishandled here .
2,the film 's direction
2,Deepa
2,by tech-geeks
3,glinting charm
3,Far From Heaven is a dazzling conceptual feat
2,Frank Capra 's
4,very real and amusing
3,gifted performers
1,that the only rip off that we were aware of
2,as high
2,other feel-good fiascos
1,manic
1,pushes too hard to make this a comedy or serious drama .
2,standard police-oriented drama
2,psychological grounding
2,The Singles Ward
2,a-bornin
1,epilogue that leaks suspension of disbelief
1,drag on for nearly three hours
1,trifling
4,delightfully rendered
2,Bullock Bubble and
1,trying to have it both ways
2,it stands I
4,begins as a conventional thriller evolves into a gorgeously atmospheric meditation on life-changing chance encounters .
2,Mr. Serrault
3,pushes all the demographically appropriate comic buttons
2,common-man
2,modern-day
1,feel sorry
3,can go home again
3,would make it the darling of many a kids-and-family-oriented cable channel
2,to find love
2,into a bizarre sort of romantic comedy
4,remarkable
2,shoot 'em
2,Lopez himself
2,instructs
2,sucked up all he has to give to the mystic genres of cinema
2,'s not good with people
2,families can offer either despair or consolation
2,to paradoxically
3,placed in the pantheon of the best of the swashbucklers
2,writer-director Michael Kalesniko
1,they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes
3,are to ourselves and each other
2,a helping hand and a friendly kick in the pants
3,this story is really all about
1,paranoid impulse
2,Friends image
2,his genre and his character construct
1,made me feel unclean
2,for war
2,its own fire-breathing entity
2,full-fledged sex addict
2,of the piece
3,a few nice twists in a standard plot and
2,Rohmer 's
1,the all-too-familiar dramatic arc
4,that he has been able to share his story so compellingly with us is a minor miracle
2,tight pants
2,the bare bones of Byatt 's plot
2,tell you everything you need to know about All the Queen 's Men
3,bitchy frolic which pokes fun at the price of popularity and small-town pretension in the Lone Star State
2,a vulgar
1,live in denial about
2,with finishing it at all
0,did n't sign a pact to burn the negative and the script and pretend the whole thing never existed
2,for at least 90 more minutes
3,point the way for adventurous Indian filmmakers toward a crossover into nonethnic markets
2,the ensemble
1,preposterously melodramatic paean
3,Writer-director David Jacobson
2,half-dozen
1,thin stretched over the nearly 80-minute running time
2,the most random of chances
2,have is
4,incredibly flexible cast
2,the victim
1,you wish that the movie had worked a little harder to conceal its contrivances
4,fantastic dual performance
1,But no. .
3,are head and shoulders above much of the director 's previous popcorn work .
2,that Hollywood appears to have given up on in favor of sentimental war movies in the vein of ` We Were Soldiers
1,absurd
1,a film school undergrad
2,sitting
4,ranks as the most original in years
3,mixes in as much humor as pathos to take us on his sentimental journey of the heart .
3,hate to tear your eyes away from the images
4,the extraordinarily rich landscape
2,Wertmuller 's social mores and
2,Kubrick
2,protect the code at all costs
2,The Rising Place
2,no idea of it
2,a vampire soap opera
1,Stealing Harvard is a smorgasbord of soliloquies about nothing delivered by the former Mr. Drew Barrymore .
2,bare bones
3,Handsome and sincere
3,is sympathetic without being gullible
2,collaborators
2,to slip into hokum
2,If you recognize Zeus -LRB- the dog from Snatch -RRB-
1,ominous mood and tension
1,slim hopes and dreams
2,the pocket monster movie franchise
2,Imogen Kimmel
2,Gallic ` tradition
2,famine and poverty
1,Shakespeare
2,plumbing
2,as this particular film
2,bizarre sort
2,adapted from Anne Rice 's novel The Vampire Chronicles
2,complete than Indecent Proposal
2,seek out
2,the relationship
4,Not many movies have that kind of impact on me these days .
3,two of those well spent
2,harshness
3,astonish and
2,this melancholic film noir
2,personal tragedy and also
3,who 's the scariest of sadists
3,to love .
1,to be a one-trick pony
2,than 9 1\/2 Weeks
1,doze off
2,#NOM?
2,While there are times when the film 's reach exceeds its grasp
2,footing
4,makes it all the more compelling .
2,would he
2,be surprised to know
3,A thoughtful and surprisingly affecting portrait
2,expect -- but nothing more
2,has at last
3,true impact
2,Blair Witch formula
2,uncharted
2,is in the background
2,other actors
1,graceless and
1,inconsequential move
3,gender-bending comedy
3,a fan
2,Amid the shock and curiosity factors
2,say something
2,releasing it into theaters
3,shaped by director Peter Kosminsky into sharp slivers and cutting impressions
3,has several strong performances
3,more accurate than anything
3,it eventually pays off and is effective if you stick with it
2,red lights
3,brilliant gag
0,that anyone in his right mind would want to see the it
2,something fishy about a seasonal holiday kids ' movie
4,lifts the film high above run-of-the-filth gangster flicks
2,invitation
2,Gibson
2,waiting for Frida
1,' the play more has partly closed it down .
2,is n't Katherine
2,girls-behaving-badly film
0,A fifty car pileup of cliches .
3,dream
0,that 's so mechanical you can smell the grease on the plot
3,is a film in which the talent is undeniable
